
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
1.083986e-03, 8.781158e-03, 0.000000e+00, 1.993349e+01, 4.076767e-03
5.944842e-04, 8.781158e-03, 0.000000e+00, 1.993273e+01, 3.808048e-04
1.573488e-03, 8.781158e-03, 0.000000e+00, 1.993476e+01, 1.010928e-02
1.083986e-03, 8.581587e-03, 0.000000e+00, 1.993092e+01, 4.556061e-03
5.944842e-04, 8.581587e-03, 0.000000e+00, 1.993014e+01, 5.228908e-04
1.573488e-03, 8.581587e-03, 0.000000e+00, 1.993246e+01, 1.085255e-02
1.083986e-03, 8.382015e-03, 0.000000e+00, 1.992821e+01, 5.087056e-03
5.944842e-04, 8.382015e-03, 0.000000e+00, 1.992741e+01, 6.908926e-04
1.573488e-03, 8.382015e-03, 0.000000e+00, 1.993008e+01, 1.163219e-02
1.083986e-03, 8.182444e-03, 0.000000e+00, 1.992533e+01, 5.674423e-03
5.944842e-04, 8.182444e-03, 0.000000e+00, 1.992453e+01, 8.876694e-04
1.573488e-03, 8.182444e-03, 0.000000e+00, 1.992762e+01, 1.244506e-02
1.083986e-03, 7.982871e-03, 0.000000e+00, 1.992231e+01, 6.322461e-03
5.944842e-04, 7.982871e-03, 0.000000e+00, 1.992150e+01, 1.117004e-03
1.573488e-03, 7.982871e-03, 0.000000e+00, 1.992509e+01, 1.328561e-02
1.083986e-03, 7.783299e-03, 0.000000e+00, 1.991917e+01, 7.033381e-03
5.944842e-04, 7.783299e-03, 0.000000e+00, 1.991831e+01, 1.383393e-03
1.573488e-03, 7.783299e-03, 0.000000e+00, 1.992244e+01, 1.414770e-02
1.083986e-03, 7.583728e-03, 0.000000e+00, 1.991590e+01, 7.808783e-03
5.944842e-04, 7.583728e-03, 0.000000e+00, 1.991495e+01, 1.692188e-03
1.573488e-03, 7.583728e-03, 0.000000e+00, 1.991960e+01, 1.502584e-02
-8.743006e-19, 1.357088e-02, 0.000000e+00, 1.996849e+01, 0.000000e+00
-8.604229e-19, 1.337131e-02, 0.000000e+00, 1.996757e+01, 0.000000e+00
4.771930e-05, 1.337131e-02, 0.000000e+00, 1.996757e+01, 1.121318e-04
4.771930e-05, 1.357088e-02, 0.000000e+00, 1.996849e+01, 1.102198e-04
1.049825e-04, 1.337131e-02, 0.000000e+00, 1.996757e+01, 2.326558e-04
1.049825e-04, 1.357088e-02, 0.000000e+00, 1.996849e+01, 2.289297e-04
-8.465451e-19, 1.317174e-02, 0.000000e+00, 1.996662e+01, 0.000000e+00
4.771930e-05, 1.317174e-02, 0.000000e+00, 1.996662e+01, 1.140561e-04
1.049825e-04, 1.317174e-02, 0.000000e+00, 1.996662e+01, 2.363867e-04
-8.326673e-19, 1.297217e-02, 0.000000e+00, 1.996563e+01, 0.000000e+00
4.771930e-05, 1.297217e-02, 0.000000e+00, 1.996563e+01, 1.159849e-04
1.049825e-04, 1.297217e-02, 0.000000e+00, 1.996564e+01, 2.401047e-04
-8.187895e-19, 1.277260e-02, 0.000000e+00, 1.996461e+01, 0.000000e+00
4.771930e-05, 1.277259e-02, 0.000000e+00, 1.996461e+01, 1.179116e-04
1.049825e-04, 1.277259e-02, 0.000000e+00, 1.996461e+01, 2.437924e-04
-8.049117e-19, 1.257302e-02, 0.000000e+00, 1.996355e+01, 0.000000e+00
4.771930e-05, 1.257302e-02, 0.000000e+00, 1.996355e+01, 1.198305e-04
1.049825e-04, 1.257302e-02, 0.000000e+00, 1.996355e+01, 2.474351e-04
-7.910340e-19, 1.237345e-02, 0.000000e+00, 1.996245e+01, 0.000000e+00
