Volume injected (mL), NC (-)
0.13445,0.071437
0.1346,0.071636
0.13474,0.071456
0.13489,0.071564
0.13504,0.07167
0.13519,0.07144
0.13534,0.071598
0.13549,0.07146
0.13564,0.071647
0.13579,0.071258
0.13594,0.071261
0.13608,0.071642
0.13623,0.071502
0.13638,0.07141
0.13653,0.071411
0.13668,0.07168
0.13683,0.07158
0.13698,0.071518
0.13713,0.071808
0.13728,0.071633
0.13742,0.071991
0.13757,0.071253
0.13772,0.072139
0.13787,0.071893
0.13802,0.071709
0.13817,0.07131
0.13832,0.071983
0.13847,0.071844
0.13862,0.071751
0.13876,0.071723
0.13891,0.071839
0.13906,0.071885
0.13921,0.071739
0.13936,0.0715
0.13951,0.071864
0.13966,0.071835
0.13981,0.072063
0.13996,0.071307
0.1401,0.071902
0.14025,0.071873
0.1404,0.072025
0.14055,0.071657
0.1407,0.071709
0.14085,0.071679
0.141,0.071979
0.14115,0.071654
0.1413,0.071959
0.14144,0.072239
0.14159,0.071993
0.14174,0.071771
0.14189,0.071669
0.14204,0.071923
0.14219,0.072154
0.14234,0.071914
0.14249,0.07216
0.14264,0.072
0.14278,0.072054
0.14293,0.071991
0.14308,0.072365
0.14323,0.072404
0.14338,0.072091
0.14353,0.072107
0.14368,0.072278
0.14383,0.072151
0.14398,0.072598
0.14412,0.072216
0.14427,0.072387
0.14442,0.072566
0.14457,0.072397
0.14472,0.072367
0.14487,0.072458
0.14502,0.072486
0.14517,0.072524
0.14532,0.072394
0.14546,0.072489
0.14561,0.07234
0.14576,0.072588
0.14591,0.072188
0.14606,0.072325
0.14621,0.072665
0.14636,0.07294
0.14651,0.072609
0.14666,0.07234
0.1468,0.072437
0.14695,0.072562
0.1471,0.072266
0.14725,0.07244
0.1474,0.072629
0.14755,0.072965
0.1477,0.072546
0.14785,0.072689
0.148,0.072836
0.14814,0.073072
0.14829,0.072618
0.14844,0.073046
0.14859,0.072877
0.14874,0.072757
0.14889,0.072706
0.14904,0.07251
0.14919,0.072916
0.14934,0.072979
0.14948,0.072511
0.14963,0.072524
0.14978,0.072855
0.14993,0.072881
0.15008,0.072684
0.15023,0.073133
0.15038,0.073295
0.15053,0.073176
0.15068,0.073071
0.15082,0.07331
0.15097,0.073421
0.15112,0.073375
0.15127,0.073147
0.15142,0.073164
0.15157,0.073175
0.15172,0.07325
0.15187,0.072924
0.15202,0.073213
0.15216,0.073197
0.15231,0.073323
0.15246,0.073036
0.15261,0.073228
0.15276,0.072929
0.15291,0.073236
0.15306,0.072653
0.15321,0.073059
0.15336,0.07327
0.1535,0.073421
0.15365,0.073355
0.1538,0.07319
0.15395,0.073132
0.1541,0.07329
0.15425,0.073224
0.1544,0.073355
0.15455,0.073197
0.1547,0.073543
0.15484,0.073255
0.15499,0.07324
0.15514,0.073564
0.15529,0.073424
0.15544,0.073199
0.15559,0.073274
0.15574,0.073497
0.15589,0.073515
0.15604,0.073075
0.15618,0.073041
0.15633,0.073199
0.15648,0.073311
0.15663,0.073235
0.15678,0.073629
0.15693,0.073463
0.15708,0.073521
0.15723,0.073433
0.15738,0.073334
0.15752,0.07336
0.15767,0.073341
0.15782,0.073544
0.15797,0.073898
0.15812,0.07364
0.15827,0.073876
0.15842,0.073182
0.15857,0.073543
0.15872,0.073716
0.15886,0.073518
0.15901,0.073221
0.15916,0.073306
0.15931,0.073772
0.15946,0.074321
0.15961,0.073728
0.15976,0.073614
0.15991,0.073799
0.16006,0.073967
0.1602,0.073404
0.16035,0.073818
0.1605,0.073601
0.16065,0.074058
0.1608,0.073493
0.16095,0.073912
0.1611,0.07393
0.16125,0.073675
0.1614,0.073781
0.16154,0.074162
0.16169,0.073815
0.16184,0.073975
0.16199,0.073799
0.16214,0.073972
0.16229,0.074061
0.16244,0.07421
0.16259,0.073741
0.16274,0.074029
0.16288,0.073914
0.16303,0.07406
0.16318,0.073815
0.16333,0.074127
0.16348,0.074119
0.16363,0.073992
0.16378,0.073715
0.16393,0.07413
0.16408,0.074004
0.16422,0.07421
0.16437,0.073371
0.16452,0.073708
0.16467,0.073831
0.16482,0.073887
0.16497,0.073962
0.16512,0.074207
0.16527,0.07431
0.16542,0.074324
0.16556,0.073719
0.16571,0.074132
0.16586,0.074126
0.16601,0.074164
0.16616,0.074093
0.16631,0.074496
0.16646,0.074504
0.16661,0.074578
0.16676,0.074202
0.1669,0.07425
0.16705,0.074444
0.1672,0.074578
0.16735,0.07405
0.1675,0.074131
0.16765,0.074176
0.1678,0.074539
0.16795,0.0743
0.1681,0.074184
0.16824,0.074423
0.16839,0.074559
0.16854,0.074172
0.16869,0.074245
0.16884,0.074556
0.16899,0.074712
0.16914,0.07422
0.16929,0.074471
0.16944,0.074687
0.16958,0.07451
0.16973,0.074387
0.16988,0.074769
0.17003,0.074531
0.17018,0.074512
0.17033,0.074453
0.17048,0.074477
0.17063,0.074564
0.17078,0.074712
0.17092,0.074327
0.17107,0.074514
0.17122,0.074721
0.17137,0.074742
0.17152,0.074557
0.17167,0.0747
0.17182,0.074778
0.17197,0.074691
0.17212,0.074408
0.17226,0.07418
0.17241,0.074774
0.17256,0.074876
0.17271,0.074486
0.17286,0.074627
0.17301,0.074671
0.17316,0.074829
0.17331,0.074441
0.17346,0.074543
0.1736,0.074675
0.17375,0.074661
0.1739,0.074619
0.17405,0.07443
0.1742,0.07446
0.17435,0.074632
0.1745,0.074429
0.17465,0.074667
0.1748,0.074776
0.17494,0.074504
0.17509,0.074298
0.17524,0.074535
0.17539,0.074845
0.17554,0.074574
0.17569,0.074558
0.17584,0.074789
0.17599,0.075058
0.17614,0.074659
0.17628,0.074403
0.17643,0.074895
0.17658,0.075071
0.17673,0.075034
0.17688,0.074626
0.17703,0.074402
0.17718,0.074568
0.17733,0.074571
0.17748,0.074716
0.17762,0.074847
0.17777,0.075128
0.17792,0.075094
0.17807,0.074801
0.17822,0.074891
0.17837,0.074921
0.17852,0.074968
0.17867,0.074733
0.17882,0.075099
0.17896,0.074951
0.17911,0.075106
0.17926,0.074832
0.17941,0.075076
0.17956,0.074741
0.17971,0.074903
0.17986,0.074724
0.18001,0.07509
0.18016,0.075104
0.1803,0.075346
0.18045,0.075044
0.1806,0.075388
0.18075,0.075391
0.1809,0.075156
0.18105,0.075168
0.1812,0.075001
0.18135,0.075041
0.1815,0.074937
0.18164,0.075049
0.18179,0.075342
0.18194,0.075278
0.18209,0.075302
0.18224,0.0749
0.18239,0.075179
0.18254,0.074987
0.18269,0.075357
0.18284,0.075197
0.18298,0.075779
0.18313,0.075427
0.18328,0.075331
0.18343,0.075341
0.18358,0.075447
0.18373,0.07559
0.18388,0.075607
0.18403,0.075499
0.18418,0.075617
0.18432,0.075359
0.18447,0.075374
0.18462,0.075199
0.18477,0.075322
0.18492,0.075479
0.18507,0.075373
0.18522,0.075023
0.18537,0.075393
0.18552,0.07569
0.18566,0.075191
0.18581,0.074923
0.18596,0.075284
0.18611,0.075407
0.18626,0.075272
0.18641,0.075453
0.18656,0.075241
0.18671,0.075147
0.18686,0.075235
0.187,0.075352
0.18715,0.075382
0.1873,0.07509
0.18745,0.075305
0.1876,0.074961
0.18775,0.075182
0.1879,0.075475
0.18805,0.074996
0.1882,0.074991
0.18834,0.075283
0.18849,0.075384
0.18864,0.075581
0.18879,0.075578
0.18894,0.075474
0.18909,0.075851
0.18924,0.075645
0.18939,0.075108
0.18954,0.075542
0.18968,0.075649
0.18983,0.07568
0.18998,0.075334
0.19013,0.075641
0.19028,0.07585
